Area Name,Last residence,Total migrants Persons,Total migrants Males,Total migrantsFemales,Work/employment Persons,Work/employment Males,Work/employment Females,Business Persons,Business Males,Business Females,Education Persons,Education Males,Education Females,Marriage Persons,Marriage Males,Marriage Females,Moved after birth Persons,Moved after birth Males,Moved after birth Females,Moved with householdPersons,Moved with household Males,Moved with household Females,Others Persons,Others Males,Others Females
chandigarh,jammu & kashmir,6261,3384,2877,1815,1676,139,120,103,17,417,197,220,594,9,585,161,96,65,2403,842,1561,751,461,290
chandigarh,himachal pradesh,53211,31087,22124,19143,18133,1010,699,609,90,3254,2309,945,7480,71,7409,2751,1586,1165,15051,5544,9507,4833,2835,1998
chandigarh,punjab,149718,73137,76581,38664,33914,4750,3267,2884,383,6126,3711,2415,29168,288,28880,9552,5504,4048,47583,18270,29313,15358,8566,6792
chandigarh,chandigargh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chandigarh,uttranchal,26496,15252,11244,10335,9931,404,212,185,27,675,438,237,3811,30,3781,939,566,373,7866,2541,5325,2658,1561,1097
chandigarh,haryana,85231,43181,42050,23189,21203,1986,1875,1676,199,2593,1730,863,16253,146,16107,5594,3264,2330,27796,10617,17179,7931,4545,3386
chandigarh,nct of delhi,19789,9598,10191,4834,4263,571,561,473,88,557,370,187,3232,37,3195,869,488,381,7721,2847,4874,2015,1120,895
chandigarh,rajasthan,8694,4610,4084,2449,2249,200,193,173,20,261,182,79,1138,13,1125,359,223,136,3501,1257,2244,793,513,280
chandigarh,uttar pradesh,134260,82746,51514,57572,55133,2439,1625,1479,146,1098,768,330,17171,264,16907,5488,3121,2367,37127,12657,24470,14179,9324,4855
chandigarh,bihar,30948,22861,8087,17835,17486,349,261,245,16,252,217,35,2209,29,2180,874,492,382,6510,2228,4282,3007,2164,843
chandigarh,sikkim,74,48,26,22,21,1,1,1,0,8,6,2,3,1,2,0,0,0,34,14,20,6,5,1
chandigarh,arunachal pradesh,74,40,34,14,14,0,0,0,0,4,2,2,5,1,4,2,2,0,37,16,21,12,5,7
chandigarh,nagaland,113,56,57,32,29,3,2,2,0,12,6,6,10,0,10,0,0,0,46,13,33,11,6,5
chandigarh,manipur,631,438,193,47,42,5,22,17,5,403,301,102,12,0,12,5,1,4,105,54,51,37,23,14
chandigarh,mizoram,85,52,33,25,25,0,0,0,0,16,7,9,0,0,0,2,1,1,35,15,20,7,4,3
chandigarh,tripura,78,51,27,27,25,2,0,0,0,15,13,2,8,0,8,0,0,0,22,9,13,6,4,2
chandigarh,meghalaya,238,119,119,41,35,6,2,1,1,6,5,1,11,0,11,3,1,2,148,60,88,27,17,10
